id,query,title,salary_from,salary_to,currency,employer,url,created_at,benefits,is_internal
1,Программист,Junior Frontend-разработчик,300000,500000,KZT,SIRIUS LTW,https://hh.ru/vacancy/121288916,2025-06-08 06:56:23.880880+00:00,,False
2,Программист,Frontend-разработчик,2000,,USD,Железка,https://hh.ru/vacancy/121337444,2025-06-08 06:56:23.887493+00:00,,False
3,Программист,React.is разработчик,1000,2000,USD,ФОРТВИЖН,https://hh.ru/vacancy/121120706,2025-06-08 06:56:23.890792+00:00,,False
4,Программист,Frontend-разработчик,300000,,KZT,AIM tech,https://hh.ru/vacancy/121436107,2025-06-08 06:56:23.893762+00:00,,False
5,Программист,Junior Backend разработчик,500,700,USD,ОсОО ДайверситиГоу,https://hh.ru/vacancy/121280718,2025-06-08 06:56:23.896661+00:00,,False
6,Программист,Верстальщик/Frontend-разработчик (junior),60000,,RUR,Стоматология Ультра-Дент (ООО Ультра-Мед),https://hh.ru/vacancy/121426482,2025-06-08 06:56:23.899392+00:00,,False
7,Программист,Frontend-разработчик,70000,120000,KGS,Aksoft ( Asanov Manas),https://hh.ru/vacancy/120825511,2025-06-08 06:56:23.902102+00:00,,False
8,Программист,Frontend-разработчик,70000,150000,RUR,ИПК Биллинговый центр,https://hh.ru/vacancy/121402621,2025-06-08 06:56:23.905363+00:00,,False
9,Программист,Разработчик фронтенд (junior),100000,100000,RUR,Компания ПЭК,https://hh.ru/vacancy/121432244,2025-06-08 06:56:23.908277+00:00,,False
10,Программист,Web-разработчик сайтов,150000,,RUR,Бертэн,https://hh.ru/vacancy/121100186,2025-06-08 06:56:23.911758+00:00,,False
11,Программист,Junior Frontend-разработчик,300000,500000,KZT,SIRIUS LTW,https://hh.ru/vacancy/121288916,2025-06-08 08:10:47.065952+00:00,,False
12,Программист,Frontend-разработчик,2000,,USD,Железка,https://hh.ru/vacancy/121337444,2025-06-08 08:10:47.070619+00:00,,False
13,Программист,React.is разработчик,1000,2000,USD,ФОРТВИЖН,https://hh.ru/vacancy/121120706,2025-06-08 08:10:47.073688+00:00,,False
14,Программист,Frontend-разработчик,300000,,KZT,AIM tech,https://hh.ru/vacancy/121436107,2025-06-08 08:10:47.076739+00:00,,False
15,Программист,Junior Backend разработчик,500,700,USD,ОсОО ДайверситиГоу,https://hh.ru/vacancy/121280718,2025-06-08 08:10:47.080415+00:00,,False
16,Программист,Верстальщик/Frontend-разработчик (junior),60000,,RUR,Стоматология Ультра-Дент (ООО Ультра-Мед),https://hh.ru/vacancy/121426482,2025-06-08 08:10:47.084192+00:00,,False
17,Программист,Frontend-разработчик,70000,120000,KGS,Aksoft ( Asanov Manas),https://hh.ru/vacancy/120825511,2025-06-08 08:10:47.087001+00:00,,False
18,Программист,Разработчик фронтенд (junior),100000,100000,RUR,Компания ПЭК,https://hh.ru/vacancy/121432244,2025-06-08 08:10:47.089864+00:00,,False
19,Программист,Frontend-разработчик,70000,150000,RUR,ИПК Биллинговый центр,https://hh.ru/vacancy/121402621,2025-06-08 08:10:47.092834+00:00,,False
20,Программист,Frontend Developer (React),130000,,RUR,Soft Media Group,https://hh.ru/vacancy/121370658,2025-06-08 08:10:47.095623+00:00,,False
21,Программист,Frontend-разработчик,2000,,USD,Железка,https://hh.ru/vacancy/121337444,2025-06-08 08:13:44.530366+00:00,,False
22,Программист,React.is разработчик,1000,2000,USD,ФОРТВИЖН,https://hh.ru/vacancy/121120706,2025-06-08 08:13:44.534967+00:00,,False
